Repetition ID,Dataset ID,CNN Model,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE,Validation non-reject accuracy ML
5,M3,VGGNet,Random Forest,0.983,0.8651327704141553,0.0428485705712571,0.12065024320750037,0.563
5,M3,VGGNet,Ada Boost,0.999,0.8581713474484399,0.00939201788754685,0.1237248602493338,0.54
5,M3,VGGNet,Support Vector Machine,0.893,0.8692478662547514,0.10816653826391968,0.11879533208554463,0.564
5,M3,SqueezeNet,Random Forest,0.972,0.7955396586708213,0.05541660400998964,0.1485523492429162,0.447
5,M3,SqueezeNet,Ada Boost,0.999,0.7985603665893276,0.00988331928048467,0.14745090576863767,0.457
5,M3,SqueezeNet,Support Vector Machine,0.806,0.8021101330854247,0.14556785359412291,0.14614594226964106,0.463
5,M5,ResNet,Random Forest,0.975,0.8303376539633995,0.0449221548904324,0.11620378222038176,0.555
5,M5,ResNet,Ada Boost,0.998,0.8191438678035452,0.012593649193144933,0.1199759366516005,0.559
5,M5,ResNet,Support Vector Machine,0.856,0.8349527084957497,0.10765686229869417,0.11461243268455798,0.582
5,M5,AlexNet,Random Forest,0.97,0.7905930425551129,0.049274739979019676,0.12909906092215637,0.546
5,M5,AlexNet,Ada Boost,0.997,0.7776410967264313,0.014983324063771697,0.1330315929472866,0.533
5,M5,AlexNet,Support Vector Machine,0.814,0.7951811494926556,0.12227019260637484,0.12767694778851083,0.558
5,M5,VGGNet,Random Forest,0.976,0.8326425775652169,0.04373785545725808,0.11541174805061868,0.577
5,M5,VGGNet,Ada Boost,0.998,0.8263581990027732,0.012066482503198684,0.11755867177776695,0.573
5,M5,VGGNet,Support Vector Machine,0.853,0.8398357817254722,0.10862780491200216,0.11290424708803624,0.596
5,M5,SqueezeNet,Random Forest,0.967,0.7761305253007996,0.05176871642217914,0.1334826960625902,0.549
5,M5,SqueezeNet,Ada Boost,0.999,0.7742557016592903,0.010972693379476163,0.1340404647040179,0.548
5,M5,SqueezeNet,Support Vector Machine,0.779,0.7845781127869906,0.13315404612703288,0.13094003205137922,0.534
5,M0,ResNet,Random Forest,0.981,0.8774796195299182,0.04323193264243457,0.1123321901920524,0.642
5,M0,ResNet,Ada Boost,0.985,0.90063199096809,0.03766961640367472,0.10116338491080143,0.654
5,M0,ResNet,Support Vector Machine,0.931,0.8912523488788935,0.08193289937503738,0.10583029356796478,0.651
5,M0,AlexNet,Random Forest,0.984,0.8974840674604024,0.0396232255123179,0.10275329125991096,0.664
5,M0,AlexNet,Ada Boost,0.99,0.8997798328656231,0.030983866769659335,0.10159623630718884,0.679
5,M0,AlexNet,Support Vector Machine,0.915,0.90283004348267,0.09078546139112803,0.10003824459411052,0.669
5,M0,VGGNet,Random Forest,0.984,0.9136853918885821,0.03911521443121589,0.09428491410435456,0.675
5,M0,VGGNet,Ada Boost,0.991,0.9095089866301327,0.028958591125950863,0.09653899737940091,0.666
5,M0,VGGNet,Support Vector Machine,0.913,0.9153760740939116,0.09211405973031478,0.09335694746128428,0.67
5,M0,SqueezeNet,Random Forest,0.982,0.8891592130733614,0.041785164831552354,0.10684393105883123,0.641
5,M0,SqueezeNet,Ada Boost,0.994,0.8929358475613745,0.024977990311472218,0.10500793059545639,0.642
5,M0,SqueezeNet,Support Vector Machine,0.898,0.8961086292805858,0.09922701245124738,0.10344030593914373,0.642
