Repetition ID,Dataset ID,ML Model,Training R2,Validation R2,Training RMSE,Validation RMSE
1,Half,Fusion,0.955,0.603,0.07489993324429602,0.21316660151158764
2,Half,Fusion,0.952,0.808,0.07699350621968064,0.16703293088490065
3,Half,Fusion,0.953,0.53,0.0763740793725201,0.24324884377936928
4,Half,Fusion,0.957,0.68,0.07317786550590281,0.21517434791350012
5,Half,Fusion,0.953,0.696,0.07651797174520505,0.18989470766717012
6,Half,Fusion,0.954,0.753,0.07609862022402246,0.16167869371070512
7,Half,Fusion,0.952,0.711,0.077756028705175,0.18449932249198098
8,Half,Fusion,0.951,0.747,0.07747902942086975,0.19768662069042506
9,Half,Fusion,0.954,0.668,0.07602631123499286,0.1880957203128237
10,Half,Fusion,0.953,0.791,0.07707788269017254,0.15652475842498528
1,Half fine-tuned,Fusion,0.963,0.784,0.07814089838234521,0.19047309521294603
2,Half fine-tuned,Fusion,0.959,0.775,0.08313843876330611,0.18363006289820846
3,Half fine-tuned,Fusion,0.961,0.685,0.07992496481075234,0.23319519720611742
4,Half fine-tuned,Fusion,0.959,0.756,0.08254695633395577,0.2132135080148535
5,Half fine-tuned,Fusion,0.961,0.79,0.08038034585643433,0.18644033898274268
6,Half fine-tuned,Fusion,0.963,0.643,0.07884161337770809,0.2331094163692235
7,Half fine-tuned,Fusion,0.965,0.769,0.07654410493303844,0.20208908926510605
8,Half fine-tuned,Fusion,0.959,0.809,0.08196950652529268,0.19276929216034383
9,Half fine-tuned,Fusion,0.961,0.748,0.08077128202523469,0.19618868468900036
10,Half fine-tuned,Fusion,0.961,0.669,0.08010617953691213,0.2532785028382788
1,RGB superposition,Fusion,0.972,0.827,0.0685200700525036,0.15981239000778383
2,RGB superposition,Fusion,0.973,0.658,0.06795586803212803,0.23594490882407274
3,RGB superposition,Fusion,0.973,0.856,0.0669477408132642,0.15326447729333761
4,RGB superposition,Fusion,0.971,0.843,0.06950539547402058,0.163707055437449
5,RGB superposition,Fusion,0.975,0.848,0.06557438524302,0.1506320019119443
6,RGB superposition,Fusion,0.971,0.809,0.06880406964707829,0.1870561413052242
7,RGB superposition,Fusion,0.973,0.844,0.06707458535093602,0.16232683080747926
8,RGB superposition,Fusion,0.97,0.867,0.07126710321038733,0.14963288408635317
