Repetition ID,Dataset ID,CNN Model,Training time (s),Training CEL,Validation CEL,Validation reject accuracy,Validation non-reject accuracy,Validation non-reject accuracy +1
4,M0,AlexNet,1478.7,0.732,0.8139181354045868,0.82,0.7466367713004485,0.9809417040358744
4,M0,VGGNet,5379.38,0.311,1.005203025996685,0.74,0.7558528428093646,0.9821627647714605
4,M0,SqueezeNet,3644.19,0.847,0.8380908186435699,0.75,0.7181208053691275,0.9787472035794184
5,M3,ResNet,2380.97,0.94,1.0852633620500565,0.77,0.6020066889632107,0.9531772575250836
5,M3,AlexNet,1557.6,1.17,1.2579343482255936,0.96,0.5129943502824859,0.8858757062146893
5,M3,VGGNet,5480.22,0.898,1.1186164054870606,0.94,0.5651685393258427,0.9471910112359551
5,M3,SqueezeNet,3590.8,1.21,1.1641483058929443,0.8,0.5234375,0.9397321428571429
5,M5,ResNet,2575.51,0.835,1.0348483994603157,0.74,0.6122905027932961,0.9508379888268157
5,M5,AlexNet,1554.89,1.13,1.5589164583086967,0.81,0.42665173572228443,0.8141097424412094
5,M5,VGGNet,5487.0,0.721,1.0714667044878006,0.78,0.6625698324022347,0.9575418994413408
5,M5,SqueezeNet,3710.11,1.12,1.1621642904281617,0.77,0.5847362514029181,0.9225589225589226
5,M0,ResNet,2579.97,0.369,1.0703302628397942,0.78,0.7149220489977728,0.9766146993318485
5,M0,AlexNet,1528.03,0.73,0.8345154858827591,0.73,0.7348993288590604,0.9854586129753915
5,M0,VGGNet,5413.95,0.331,1.237418226480484,0.72,0.7120535714285714,0.9754464285714286
5,M0,SqueezeNet,3807.68,0.831,0.9415403993129731,0.57,0.6948775055679287,0.9743875278396437
